date,description,amount
2026-01-03,UPI-NETFLIX PREMIUM,-649
2026-02-03,UPI-NETFLIX PREMIUM,-649
2026-03-03,UPI-NETFLIX PREMIUM,-649
2026-04-03,UPI-NETFLIX PREMIUM,-649
2026-05-03,UPI-NETFLIX PREMIUM,-649
2026-06-03,UPI-NETFLIX PREMIUM,-649
2026-07-03,UPI-NETFLIX PREMIUM,-649
2026-01-06,UPI-HOTSTAR SUBSCRIPTION,-299
2026-02-06,UPI-HOTSTAR SUBSCRIPTION,-299
2026-03-06,UPI-HOTSTAR SUBSCRIPTION,-299
2026-04-06,UPI-HOTSTAR SUBSCRIPTION,-299
2026-05-06,UPI-HOTSTAR SUBSCRIPTION,-299
2026-06-06,UPI-HOTSTAR SUBSCRIPTION,-299
2026-07-06,UPI-HOTSTAR SUBSCRIPTION,-299
2026-01-08,UPI-YOUTUBE PREMIUM FAMILY,-189
2026-02-08,UPI-YOUTUBE PREMIUM FAMILY,-189
2026-03-08,UPI-YOUTUBE PREMIUM FAMILY,-189
2026-04-08,UPI-YOUTUBE PREMIUM FAMILY,-189
2026-05-08,UPI-YOUTUBE PREMIUM FAMILY,-189
2026-06-08,UPI-YOUTUBE PREMIUM FAMILY,-189
2026-07-08,UPI-YOUTUBE PREMIUM FAMILY,-189
2026-01-12,MANDATE-GOOGLE ONE STORAGE,-130
2026-02-12,MANDATE-GOOGLE ONE STORAGE,-130
2026-03-12,MANDATE-GOOGLE ONE STORAGE,-130
2026-04-12,MANDATE-GOOGLE ONE STORAGE,-210
2026-05-12,MANDATE-GOOGLE ONE STORAGE,-210
2026-06-12,MANDATE-GOOGLE ONE STORAGE,-210
2026-07-12,MANDATE-GOOGLE ONE STORAGE,-210
2026-01-14,MANDATE-ICLOUD APPLE STORAGE,-219
2026-02-14,MANDATE-ICLOUD APPLE STORAGE,-219
2026-03-14,MANDATE-ICLOUD APPLE STORAGE,-219
2026-04-14,MANDATE-ICLOUD APPLE STORAGE,-219
2026-05-14,MANDATE-ICLOUD APPLE STORAGE,-219
2026-06-14,MANDATE-ICLOUD APPLE STORAGE,-219
2026-07-14,MANDATE-ICLOUD APPLE STORAGE,-219
2026-01-17,UPI-AUDIBLE MEMBERSHIP,-199
2026-02-17,UPI-AUDIBLE MEMBERSHIP,-199
2026-03-17,UPI-AUDIBLE MEMBERSHIP,-199
2026-04-17,UPI-AUDIBLE MEMBERSHIP,-199
2026-05-17,UPI-AUDIBLE MEMBERSHIP,-199
2026-06-17,UPI-AUDIBLE MEMBERSHIP,-199
2026-07-17,UPI-AUDIBLE MEMBERSHIP,-199
2026-01-19,AUTOPAY-CULT FIT GYM MANDATE,-1499
2026-02-19,AUTOPAY-CULT FIT GYM MANDATE,-1499
2026-07-16,UPI-DISNEY PLUS HOTSTAR TRIAL,-299
2026-01-02,SALARY CREDIT,158000
2026-02-20,POS-DMART SHOPPING,-4350
