date,description,amount
2026-01-04,UPI-NETFLIX ENTERTAINMENT,-499
2026-02-04,UPI-NETFLIX ENTERTAINMENT,-499
2026-03-04,UPI-NETFLIX ENTERTAINMENT,-649
2026-04-04,UPI-NETFLIX ENTERTAINMENT,-649
2026-05-04,UPI-NETFLIX ENTERTAINMENT,-649
2026-06-04,UPI-NETFLIX ENTERTAINMENT,-649
2026-07-04,UPI-NETFLIX ENTERTAINMENT,-649
2026-01-09,UPI-SPOTIFY INDIA,-119
2026-02-09,UPI-SPOTIFY INDIA,-119
2026-03-09,UPI-SPOTIFY INDIA,-119
2026-04-09,UPI-SPOTIFY INDIA,-119
2026-05-09,UPI-SPOTIFY INDIA,-119
2026-06-09,UPI-SPOTIFY INDIA,-119
2026-07-09,UPI-SPOTIFY INDIA,-119
2026-01-11,AUTOPAY-CULT FIT GYM MANDATE,-1499
2026-02-11,AUTOPAY-CULT FIT GYM MANDATE,-1499
2026-03-11,AUTOPAY-CULT FIT GYM MANDATE,-1499
2026-01-14,UPI-AMAZON PRIME MEMBERSHIP,-299
2026-02-14,UPI-AMAZON PRIME MEMBERSHIP,-299
2026-03-14,UPI-AMAZON PRIME MEMBERSHIP,-299
2026-04-14,UPI-AMAZON PRIME MEMBERSHIP,-299
2026-05-14,UPI-AMAZON PRIME MEMBERSHIP,-299
2026-06-14,UPI-AMAZON PRIME MEMBERSHIP,-299
2026-07-14,UPI-AMAZON PRIME MEMBERSHIP,-299
2026-01-18,MANDATE-ICLOUD APPLE STORAGE,-219
2026-02-18,MANDATE-ICLOUD APPLE STORAGE,-219
2026-03-18,MANDATE-ICLOUD APPLE STORAGE,-219
2026-04-18,MANDATE-ICLOUD APPLE STORAGE,-219
2026-05-18,MANDATE-ICLOUD APPLE STORAGE,-219
2026-06-18,MANDATE-ICLOUD APPLE STORAGE,-219
2026-07-18,MANDATE-ICLOUD APPLE STORAGE,-219
2026-01-21,UPI-SWIGGY ONE MEMBERSHIP,-149
2026-02-21,UPI-SWIGGY ONE MEMBERSHIP,-149
2026-03-21,UPI-SWIGGY ONE MEMBERSHIP,-149
2026-04-21,UPI-SWIGGY ONE MEMBERSHIP,-149
2026-05-21,UPI-SWIGGY ONE MEMBERSHIP,-149
2026-06-21,UPI-SWIGGY ONE MEMBERSHIP,-149
2026-07-21,UPI-SWIGGY ONE MEMBERSHIP,-149
2026-01-24,UPI-ADOBE SYSTEMS SOFTWARE,-1299
2026-02-24,UPI-ADOBE SYSTEMS SOFTWARE,-1299
2026-03-24,UPI-ADOBE SYSTEMS SOFTWARE,-1299
2026-04-24,UPI-ADOBE SYSTEMS SOFTWARE,-1699
2026-05-24,UPI-ADOBE SYSTEMS SOFTWARE,-1699
2026-06-24,UPI-ADOBE SYSTEMS SOFTWARE,-1699
2026-07-24,UPI-ADOBE SYSTEMS SOFTWARE,-1699
2026-07-17,UPI-CHATGPT PLUS TRIAL,-1999
2026-01-02,SALARY CREDIT INFOTECH PVT,92000
2026-03-15,POS-BIGBASKET GROCERY,-2680
2026-05-22,POS-INDIANOIL FUEL,-2100
