date,description,amount
2026-01-07,UPI-SPOTIFY STUDENT,-59
2026-02-07,UPI-SPOTIFY STUDENT,-59
2026-03-07,UPI-SPOTIFY STUDENT,-59
2026-04-07,UPI-SPOTIFY STUDENT,-59
2026-05-07,UPI-SPOTIFY STUDENT,-59
2026-06-07,UPI-SPOTIFY STUDENT,-59
2026-07-07,UPI-SPOTIFY STUDENT,-59
2026-01-10,UPI-NETFLIX MOBILE,-199
2026-02-10,UPI-NETFLIX MOBILE,-199
2026-03-10,UPI-NETFLIX MOBILE,-199
2026-04-10,UPI-NETFLIX MOBILE,-199
2026-05-10,UPI-NETFLIX MOBILE,-199
2026-06-10,UPI-NETFLIX MOBILE,-199
2026-07-10,UPI-NETFLIX MOBILE,-199
2026-01-13,UPI-YOUTUBE PREMIUM,-129
2026-02-13,UPI-YOUTUBE PREMIUM,-129
2026-03-13,UPI-YOUTUBE PREMIUM,-129
2026-04-13,UPI-YOUTUBE PREMIUM,-149
2026-05-13,UPI-YOUTUBE PREMIUM,-149
2026-06-13,UPI-YOUTUBE PREMIUM,-149
2026-07-13,UPI-YOUTUBE PREMIUM,-149
2026-01-15,UPI-LEETCODE PREMIUM,-299
2026-02-15,UPI-LEETCODE PREMIUM,-299
2026-01-19,UPI-CANVA PRO,-499
2026-02-19,UPI-CANVA PRO,-499
2026-03-19,UPI-CANVA PRO,-499
2026-04-19,UPI-CANVA PRO,-499
2026-05-19,UPI-CANVA PRO,-499
2026-06-19,UPI-CANVA PRO,-499
2026-07-19,UPI-CANVA PRO,-499
2026-07-16,UPI-CHEGG STUDY TRIAL,-499
2026-01-03,UPI-POCKET MONEY FROM DAD,6000
2026-04-21,POS-CAMPUS CANTEEN,-260
